日期,股票代碼,開盤價,最高價,最低價,收盤價,調整後收盤價,成交量
2026-07-01,TSLA,421.46,432.86,418.09,425.3,425.3,40127900
2026-06-30,TSLA,406.0,424.54,406.0,420.6,420.6,43385600
2026-06-29,TSLA,381.79,413.27,379.3,411.84,411.84,57645800
2026-06-26,TSLA,370.15,387.8,368.6,379.71,379.71,53434100
2026-06-25,TSLA,375.27,379.12,371.22,375.12,375.12,30138800
2026-06-24,TSLA,380.08,384.58,373.05,375.53,375.53,37081400
2026-06-23,TSLA,392.61,392.87,379.06,381.61,381.61,50420200
2026-06-22,TSLA,394.85,414.75,394.4,405.05,405.05,47819500
2026-06-18,TSLA,398.1,402.52,384.7,400.49,400.49,58384700
2026-06-17,TSLA,401.53,405.94,393.76,396.38,396.38,43534300
2026-06-16,TSLA,404.11,412.42,400.54,404.66,404.66,40255500
2026-06-15,TSLA,412.37,416.0,407.1,411.15,411.15,45620500
2026-06-12,TSLA,399.49,406.68,386.76,406.43,406.43,63514500
2026-06-11,TSLA,388.28,399.54,380.66,399.15,399.15,45324300
2026-06-10,TSLA,391.54,397.09,380.15,381.59,381.59,49695600
2026-06-09,TSLA,411.03,418.5,384.24,396.68,396.68,59940200
2026-06-08,TSLA,396.33,412.94,394.72,408.95,408.95,50328800
2026-06-05,TSLA,420.5,424.68,388.59,391.0,391.0,63420200
2026-06-04,TSLA,419.84,426.35,417.16,418.45,418.45,35323300
2026-06-03,TSLA,418.7,433.6,416.0,423.7,423.7,44500700
2026-06-02,TSLA,418.22,424.42,413.65,423.74,423.74,37596000
2026-06-01,TSLA,427.49,429.6,415.43,415.88,415.88,44937900
2026-05-29,TSLA,439.85,441.07,428.14,435.79,435.79,45176800
2026-05-28,TSLA,437.62,443.96,436.3,442.1,442.1,32435000
2026-05-27,TSLA,442.89,445.6,435.52,440.36,440.36,44656500
2026-05-26,TSLA,430.26,435.2,426.12,433.59,433.59,45658900
2026-05-22,TSLA,422.67,431.51,420.51,426.01,426.01,46104700
2026-05-21,TSLA,422.18,426.95,412.9,417.85,417.85,42636900
2026-05-20,TSLA,407.6,417.46,406.39,417.26,417.26,45294700
2026-05-19,TSLA,403.16,405.63,393.63,404.11,404.11,46500600
2026-05-18,TSLA,419.27,421.13,405.33,409.99,409.99,52474200
2026-05-15,TSLA,433.98,434.66,422.0,422.24,422.24,52688700
2026-05-14,TSLA,446.49,451.98,441.16,443.3,443.3,46070400
2026-05-13,TSLA,436.67,453.4,430.21,445.27,445.27,68283200
2026-05-12,TSLA,441.41,447.8,422.26,433.45,433.45,60569300
2026-05-11,TSLA,422.16,449.16,416.8,445.0,445.0,78376100
2026-05-08,TSLA,416.48,431.2,416.39,428.35,428.35,65050000
2026-05-07,TSLA,407.48,415.83,402.12,411.79,411.79,64294200
2026-05-06,TSLA,386.25,401.68,384.02,398.73,398.73,53465400
2026-05-05,TSLA,395.19,402.12,389.0,389.37,389.37,47780600
2026-05-04,TSLA,390.23,394.64,384.8,392.51,392.51,48765100
2026-05-01,TSLA,382.49,397.82,378.8,390.82,390.82,65338300
2026-04-30,TSLA,372.75,384.75,368.17,381.63,381.63,51076000
2026-04-29,TSLA,375.4,376.4,370.04,372.8,372.8,45384800
2026-04-28,TSLA,374.68,382.29,372.54,376.02,376.02,50864400
2026-04-27,TSLA,372.09,380.78,364.02,378.67,378.67,66735800
2026-04-24,TSLA,373.5,382.76,370.73,376.3,376.3,62893300
2026-04-23,TSLA,375.28,386.0,368.39,373.72,373.72,93969500
2026-04-22,TSLA,387.57,393.01,385.3,387.51,387.51,62362800
2026-04-21,TSLA,393.0,393.95,385.22,386.42,386.42,50530600
2026-04-20,TSLA,402.58,406.8,388.33,392.5,392.5,64603900
2026-04-17,TSLA,395.92,409.28,391.65,400.62,400.62,90640000
2026-04-16,TSLA,393.81,394.06,381.8,388.9,388.9,63515100
2026-04-15,TSLA,366.83,394.65,362.5,391.95,391.95,113810400
2026-04-14,TSLA,357.67,367.63,354.77,364.2,364.2,59979600
2026-04-13,TSLA,350.07,356.35,348.57,352.42,352.42,53617500
2026-04-10,TSLA,346.29,350.36,342.74,348.95,348.95,51336000
2026-04-09,TSLA,343.15,348.88,337.25,345.62,345.62,62164000
2026-04-08,TSLA,363.79,364.5,339.67,343.25,343.25,78838600
2026-04-07,TSLA,346.44,348.02,337.24,346.65,346.65,74515400
2026-04-06,TSLA,362.59,367.72,346.64,352.82,352.82,77697600
2026-04-02,TSLA,364.2,370.28,359.03,360.59,360.59,83031200
2026-04-01,TSLA,378.63,383.14,374.08,381.26,381.26,58683800
2026-03-31,TSLA,361.51,373.33,361.0,371.75,371.75,75534900
2026-03-30,TSLA,365.86,367.29,352.14,355.28,355.28,67954400
2026-03-27,TSLA,369.69,369.86,359.47,361.83,361.83,62065700
2026-03-26,TSLA,381.6,384.44,371.87,372.11,372.11,55522900
2026-03-25,TSLA,389.99,396.23,385.01,385.95,385.95,55157300
2026-03-24,TSLA,376.56,387.48,376.31,383.03,383.03,60004900
2026-03-23,TSLA,373.09,385.33,372.73,380.85,380.85,74606000
2026-03-20,TSLA,379.85,379.89,364.46,367.96,367.96,78628600
2026-03-19,TSLA,387.27,387.27,378.73,380.3,380.3,67078300
2026-03-18,TSLA,399.0,403.07,392.31,392.78,392.78,50853100
2026-03-17,TSLA,395.69,400.12,393.0,399.27,399.27,46890500
2026-03-16,TSLA,396.22,403.73,394.42,395.56,395.56,58068300
2026-03-13,TSLA,399.17,400.2,389.95,391.2,391.2,58504100
2026-03-12,TSLA,405.18,406.5,394.65,395.01,395.01,60973800
2026-03-11,TSLA,402.28,416.38,402.15,407.82,407.82,62559900
2026-03-10,TSLA,402.22,406.59,398.19,399.24,399.24,59258700
2026-03-09,TSLA,390.05,401.59,381.4,398.68,398.68,67018900
2026-03-06,TSLA,398.09,402.35,394.21,396.73,396.73,64054600
2026-03-05,TSLA,401.57,408.62,399.42,405.55,405.55,51925900
2026-03-04,TSLA,397.85,408.33,394.58,405.94,405.94,68305500
2026-03-03,TSLA,395.09,396.34,385.39,392.43,392.43,62617300
2026-03-02,TSLA,390.6,404.54,388.25,403.32,403.32,55088300
2026-02-27,TSLA,402.94,407.12,398.11,402.51,402.51,56890100
2026-02-26,TSLA,414.42,416.81,403.66,408.58,408.58,53602500
2026-02-25,TSLA,412.15,420.34,412.15,417.4,417.4,54809700
2026-02-24,TSLA,399.5,410.82,397.64,409.38,409.38,58579500
2026-02-23,TSLA,407.29,407.7,394.04,399.83,399.83,69680000
2026-02-20,TSLA,408.3,414.7,405.5,411.82,411.82,57912200
2026-02-19,TSLA,407.25,415.25,404.11,411.71,411.71,51019600
2026-02-18,TSLA,411.11,416.9,409.58,411.32,411.32,45921400
2026-02-17,TSLA,412.36,413.72,400.51,410.63,410.63,59678800
2026-02-13,TSLA,414.31,424.06,410.88,417.44,417.44,51434100
2026-02-12,TSLA,430.3,436.23,414.0,417.07,417.07,61933400
2026-02-11,TSLA,427.96,436.35,420.03,428.27,428.27,57362000
2026-02-10,TSLA,418.08,427.25,417.0,425.21,425.21,64450200
2026-02-09,TSLA,409.91,421.25,407.29,417.32,417.32,54484300
2026-02-06,TSLA,400.87,414.55,397.75,411.11,411.11,62677100
2026-02-05,TSLA,397.02,402.1,387.53,397.21,397.21,72819800
2026-02-04,TSLA,420.46,423.9,399.18,406.01,406.01,74606900
2026-02-03,TSLA,424.27,428.56,413.69,421.96,421.96,56886500
2026-02-02,TSLA,421.29,427.15,414.5,421.81,421.81,58739500
2026-01-30,TSLA,425.35,439.88,422.7,430.41,430.41,82626100
2026-01-29,TSLA,437.8,440.23,414.62,416.56,416.56,81686100
2026-01-28,TSLA,431.91,438.26,430.1,431.46,431.46,54857400
2026-01-27,TSLA,437.41,437.52,430.69,430.9,430.9,37733100
2026-01-26,TSLA,445.0,445.04,434.28,435.2,435.2,49397400
2026-01-23,TSLA,447.43,452.43,444.04,449.06,449.06,56771400
2026-01-22,TSLA,435.16,449.5,432.63,449.36,449.36,71546700
2026-01-21,TSLA,421.66,438.2,419.62,431.44,431.44,68124000
2026-01-20,TSLA,429.36,430.73,417.44,419.25,419.25,63187300
2026-01-16,TSLA,439.5,447.25,435.26,437.5,437.5,60220600
2026-01-15,TSLA,441.13,445.36,437.65,438.57,438.57,49465800
2026-01-14,TSLA,442.81,443.91,434.22,439.2,439.2,57259500
2026-01-13,TSLA,450.2,451.81,443.95,447.2,447.2,53719200
2026-01-12,TSLA,441.23,454.3,438.0,448.96,448.96,61649600
2026-01-09,TSLA,435.95,449.05,430.39,445.01,445.01,67331500
2026-01-08,TSLA,427.89,436.89,424.37,435.8,435.8,57041100
2026-01-07,TSLA,435.9,438.37,431.29,431.41,431.41,59828800
2026-01-06,TSLA,446.38,448.25,428.78,432.96,432.96,89093800
2026-01-05,TSLA,447.99,457.55,444.57,451.67,451.67,67940800
2026-01-02,TSLA,457.8,458.34,435.3,438.07,438.07,85535400
2025-12-31,TSLA,456.1,456.55,449.3,449.72,449.72,49078000
2025-12-30,TSLA,461.09,463.12,453.83,454.43,454.43,59238500
2025-12-29,TSLA,469.0,469.4,459.0,459.64,459.64,66263000
2025-12-26,TSLA,485.23,489.09,473.82,475.19,475.19,58780700
2025-12-24,TSLA,488.48,490.9,476.8,485.4,485.4,41285400
2025-12-23,TSLA,489.4,491.97,482.84,485.56,485.56,58223600
2025-12-22,TSLA,489.88,498.83,485.33,488.73,488.73,86916100
2025-12-19,TSLA,488.12,490.49,474.72,481.2,481.2,103305400
2025-12-18,TSLA,478.16,490.86,473.12,483.37,483.37,95168400
2025-12-17,TSLA,488.22,495.28,466.2,467.26,467.26,106490400
2025-12-16,TSLA,472.21,491.5,465.83,489.88,489.88,107608100
2025-12-15,TSLA,469.44,481.77,467.66,475.31,475.31,114542200
2025-12-12,TSLA,448.09,463.01,441.67,458.96,458.96,95656700
2025-12-11,TSLA,448.95,449.27,440.33,446.89,446.89,55979500
2025-12-10,TSLA,446.07,456.88,443.61,451.45,451.45,63257500
2025-12-09,TSLA,437.54,452.39,435.7,445.17,445.17,62367400
2025-12-08,TSLA,447.45,449.75,435.25,439.58,439.58,69165800
2025-12-05,TSLA,453.03,458.87,451.66,455.0,455.0,56427500
2025-12-04,TSLA,449.94,454.63,445.39,454.53,454.53,71906500
2025-12-03,TSLA,432.1,447.92,431.11,446.74,446.74,87483000
2025-12-02,TSLA,430.81,436.8,422.12,429.24,429.24,69336600
2025-12-01,TSLA,425.32,433.66,425.29,430.14,430.14,57463600
2025-11-28,TSLA,426.59,432.93,426.2,430.17,430.17,36252900
2025-11-26,TSLA,423.95,426.94,416.89,426.58,426.58,63463000
2025-11-25,TSLA,414.42,420.48,405.95,419.4,419.4,71915600
2025-11-24,TSLA,402.17,421.72,401.09,417.78,417.78,96806400
2025-11-21,TSLA,402.32,402.8,383.76,391.09,391.09,100460600
2025-11-20,TSLA,414.63,428.94,394.74,395.23,395.23,113548800
2025-11-19,TSLA,406.18,411.78,398.5,403.99,403.99,72047700
2025-11-18,TSLA,405.38,408.9,393.71,401.25,401.25,80688600
2025-11-17,TSLA,398.74,423.96,398.74,408.92,408.92,102214300
2025-11-14,TSLA,386.3,412.19,382.78,404.35,404.35,105506700
2025-11-13,TSLA,423.13,424.5,396.34,401.99,401.99,118948000
2025-11-12,TSLA,442.15,442.33,426.56,430.6,430.6,58513500
2025-11-11,TSLA,439.4,442.49,432.36,439.62,439.62,60533200
2025-11-10,TSLA,439.6,449.67,433.36,445.23,445.23,76515900
2025-11-07,TSLA,437.92,439.36,421.88,429.52,429.52,103471500
2025-11-06,TSLA,461.96,467.45,435.09,445.91,445.91,109622900
2025-11-05,TSLA,452.05,466.33,440.71,462.07,462.07,85573000
2025-11-04,TSLA,454.46,460.22,443.6,444.26,444.26,87756600
2025-11-03,TSLA,455.99,474.07,453.8,468.37,468.37,84595200
2025-10-31,TSLA,446.75,458.0,443.69,456.56,456.56,83135800
2025-10-30,TSLA,451.05,455.06,439.61,440.1,440.1,72447900
2025-10-29,TSLA,462.5,465.7,452.65,461.51,461.51,67983500
2025-10-28,TSLA,454.78,467.0,451.6,460.55,460.55,80185700
2025-10-27,TSLA,439.98,460.16,438.69,452.42,452.42,105867500
2025-10-24,TSLA,446.83,451.68,430.17,433.72,433.72,94727800
2025-10-23,TSLA,420.0,449.4,413.9,448.98,448.98,126709800
2025-10-22,TSLA,443.45,445.54,429.0,438.97,438.97,84023500
2025-10-21,TSLA,445.76,449.3,442.05,442.6,442.6,54412200
2025-10-20,TSLA,443.87,449.8,440.61,447.43,447.43,63719000
2025-10-17,TSLA,425.5,441.46,423.6,439.31,439.31,89331600
2025-10-16,TSLA,434.73,439.35,421.31,428.75,428.75,77189900
2025-10-15,TSLA,434.9,440.51,426.33,435.15,435.15,71558200
2025-10-14,TSLA,426.79,434.2,417.86,429.24,429.24,72669400
2025-10-13,TSLA,423.53,436.89,419.7,435.9,435.9,79552800
2025-10-10,TSLA,436.54,443.13,411.45,413.49,413.49,112107900
2025-10-09,TSLA,431.81,436.35,426.18,435.54,435.54,69339900
2025-10-08,TSLA,437.57,441.33,425.23,438.69,438.69,71192100
2025-10-07,TSLA,447.82,452.68,432.45,433.09,433.09,102296100
2025-10-06,TSLA,440.75,453.55,436.69,453.25,453.25,85324900
2025-10-03,TSLA,443.29,446.77,416.58,429.83,429.83,133188200
2025-10-02,TSLA,470.54,470.75,435.57,436.0,436.0,137009000
2025-10-01,TSLA,443.8,462.29,440.75,459.46,459.46,98122300
2025-09-30,TSLA,441.52,445.0,433.12,444.72,444.72,74358000
2025-09-29,TSLA,444.35,450.98,439.5,443.21,443.21,79491500
2025-09-26,TSLA,428.3,440.47,421.02,440.4,440.4,101628200
2025-09-25,TSLA,435.24,435.35,419.08,423.39,423.39,96746400
2025-09-24,TSLA,429.83,444.21,429.03,442.79,442.79,93133600
2025-09-23,TSLA,439.88,440.97,423.72,425.85,425.85,83422700
2025-09-22,TSLA,431.11,444.98,429.13,434.21,434.21,97108800
2025-09-19,TSLA,421.82,429.47,421.72,426.07,426.07,93131000
2025-09-18,TSLA,428.87,432.22,416.56,416.85,416.85,90454500
2025-09-17,TSLA,415.75,428.31,409.67,425.86,425.86,106133500
2025-09-16,TSLA,414.5,423.25,411.43,421.62,421.62,104285700
2025-09-15,TSLA,423.13,425.7,402.43,410.04,410.04,163823700
2025-09-12,TSLA,370.94,396.69,370.24,395.94,395.94,168156400
2025-09-11,TSLA,350.17,368.99,347.6,368.81,368.81,103756000
2025-09-10,TSLA,350.55,356.33,346.07,347.79,347.79,72121700
2025-09-09,TSLA,348.44,350.77,343.82,346.97,346.97,53816000
2025-09-08,TSLA,354.64,358.44,344.84,346.4,346.4,75208300
2025-09-05,TSLA,348.0,355.87,344.68,350.84,350.84,108989800
2025-09-04,TSLA,336.15,338.89,331.48,338.53,338.53,60711000
2025-09-03,TSLA,335.2,343.33,328.51,334.09,334.09,88733300
2025-09-02,TSLA,328.23,333.33,325.6,329.36,329.36,58392000
2025-08-29,TSLA,347.23,348.75,331.7,333.87,333.87,81145700
2025-08-28,TSLA,350.91,353.55,340.26,345.98,345.98,67903200
2025-08-27,TSLA,351.94,355.39,349.16,349.6,349.6,65519000
2025-08-26,TSLA,344.93,351.9,343.72,351.67,351.67,76651600
2025-08-25,TSLA,338.9,349.53,335.03,346.6,346.6,86670000
2025-08-22,TSLA,321.66,340.25,319.69,340.01,340.01,94016300
2025-08-21,TSLA,322.08,324.9,318.68,320.11,320.11,55744400
2025-08-20,TSLA,329.22,331.37,314.6,323.9,323.9,77481800
2025-08-19,TSLA,335.79,340.55,327.85,329.31,329.31,75956000
2025-08-18,TSLA,329.62,336.27,329.59,335.16,335.16,56956600
2025-08-15,TSLA,337.66,339.3,327.02,330.56,330.56,74319800
2025-08-14,TSLA,335.76,340.47,330.4,335.58,335.58,75000700
2025-08-13,TSLA,341.5,348.98,338.2,339.38,339.38,67838900
2025-08-12,TSLA,345.0,345.26,332.94,340.84,340.84,80522100
2025-08-11,TSLA,335.0,346.64,334.15,339.03,339.03,105320200
2025-08-08,TSLA,321.43,335.15,320.98,329.65,329.65,91200300
2025-08-07,TSLA,319.79,322.4,316.16,322.27,322.27,66658700
2025-08-06,TSLA,307.89,320.47,306.93,319.91,319.91,78523600
2025-08-05,TSLA,308.95,312.45,305.5,308.72,308.72,57961300
2025-08-04,TSLA,309.08,312.12,303.0,309.26,309.26,78683900
2025-08-01,TSLA,306.21,309.31,297.82,302.63,302.63,89121400
2025-07-31,TSLA,319.61,321.37,306.1,308.27,308.27,85270900
2025-07-30,TSLA,322.18,324.45,311.62,319.04,319.04,83931900
2025-07-29,TSLA,325.55,326.25,318.25,321.2,321.2,87358900
2025-07-28,TSLA,318.45,330.49,315.69,325.59,325.59,112673800
2025-07-25,TSLA,308.74,323.63,308.01,316.06,316.06,148227000
2025-07-24,TSLA,310.0,310.15,300.41,305.3,305.3,156966000
2025-07-23,TSLA,330.9,336.2,328.67,332.56,332.56,92553800
2025-07-22,TSLA,329.74,335.41,321.55,332.11,332.11,77370400
2025-07-21,TSLA,334.4,338.0,326.88,328.49,328.49,75768800
2025-07-18,TSLA,321.66,330.9,321.42,329.65,329.65,94255000
2025-07-17,TSLA,323.15,324.34,317.06,319.41,319.41,73922900
2025-07-16,TSLA,312.8,323.5,312.62,321.67,321.67,97284800
2025-07-15,TSLA,319.68,321.2,310.5,310.78,310.78,77556300
2025-07-14,TSLA,317.73,322.6,312.67,316.9,316.9,78043400
2025-07-11,TSLA,307.89,314.09,305.65,313.51,313.51,79236400
2025-07-10,TSLA,300.05,310.48,300.0,309.87,309.87,104365300
2025-07-09,TSLA,297.55,300.15,293.55,295.88,295.88,75586800
2025-07-08,TSLA,297.0,304.05,294.35,297.81,297.81,103246700
2025-07-07,TSLA,291.37,296.15,288.77,293.94,293.94,131177900
2025-07-03,TSLA,317.99,318.45,312.76,315.35,315.35,58042300
2025-07-02,TSLA,312.63,316.83,303.82,315.65,315.65,119483700
2025-07-01,TSLA,298.46,305.89,293.21,300.71,300.71,145085700
2025-06-30,TSLA,319.9,325.58,316.6,317.66,317.66,76695100
2025-06-27,TSLA,324.51,329.34,317.5,323.63,323.63,89067000
2025-06-26,TSLA,324.61,331.05,323.61,325.78,325.78,80440900
2025-06-25,TSLA,342.7,343.0,320.4,327.55,327.55,119845100
2025-06-24,TSLA,356.17,356.26,340.44,340.47,340.47,114736200
2025-06-23,TSLA,327.54,357.54,327.48,348.68,348.68,190716800
2025-06-20,TSLA,327.95,332.36,317.78,322.16,322.16,108688000
2025-06-18,TSLA,317.31,329.32,315.45,322.05,322.05,95137700
2025-06-17,TSLA,326.09,327.26,314.74,316.35,316.35,88282700
2025-06-16,TSLA,331.29,332.05,326.41,329.13,329.13,83925900
2025-06-13,TSLA,313.97,332.99,313.3,325.31,325.31,128964300
2025-06-12,TSLA,323.08,332.56,316.86,319.11,319.11,105127500
2025-06-11,TSLA,334.4,335.5,322.5,326.43,326.43,122611400
2025-06-10,TSLA,314.94,327.83,310.67,326.09,326.09,151256500
2025-06-09,TSLA,285.96,309.83,281.85,308.58,308.58,140908900
2025-06-06,TSLA,298.83,305.5,291.14,295.14,295.14,164747700
2025-06-05,TSLA,322.49,324.55,273.21,284.7,284.7,287499800
2025-06-04,TSLA,345.1,345.6,327.33,332.05,332.05,98912100
2025-06-03,TSLA,346.6,355.4,343.04,344.27,344.27,99324500
2025-06-02,TSLA,343.5,348.02,333.33,342.69,342.69,81873800
2025-05-30,TSLA,355.52,363.68,345.29,346.46,346.46,123474900
2025-05-29,TSLA,365.29,367.71,356.0,358.43,358.43,88087800
2025-05-28,TSLA,364.84,365.0,355.91,356.9,356.9,91404300
2025-05-27,TSLA,347.35,363.79,347.32,362.89,362.89,120146400
2025-05-23,TSLA,337.92,343.18,333.21,339.34,339.34,84654800
2025-05-22,TSLA,331.9,347.27,331.39,341.04,341.04,97113400
2025-05-21,TSLA,344.43,347.35,332.2,334.62,334.62,102354800
2025-05-20,TSLA,347.87,354.99,341.63,343.82,343.82,131715500
2025-05-19,TSLA,336.3,343.0,333.37,342.09,342.09,88869900
2025-05-16,TSLA,346.24,351.62,342.33,349.98,349.98,95895700
2025-05-15,TSLA,340.34,346.14,334.72,342.82,342.82,97882600
2025-05-14,TSLA,342.5,350.0,337.0,347.68,347.68,136997300
2025-05-13,TSLA,320.0,337.59,316.8,334.07,334.07,136992600
2025-05-12,TSLA,321.99,322.21,311.5,318.38,318.38,112826700
2025-05-09,TSLA,290.21,307.04,290.0,298.26,298.26,132387800
2025-05-08,TSLA,279.63,289.8,279.41,284.82,284.82,97539400
2025-05-07,TSLA,276.88,277.92,271.0,276.22,276.22,71592600
2025-05-06,TSLA,273.11,277.73,271.35,275.35,275.35,76715800
2025-05-05,TSLA,284.57,284.85,274.4,280.26,280.26,94618900
2025-05-02,TSLA,284.9,294.78,279.81,287.21,287.21,114454700
2025-05-01,TSLA,280.01,290.87,279.81,280.52,280.52,99659000
2025-04-30,TSLA,279.9,284.45,270.78,282.16,282.16,128961100
2025-04-29,TSLA,285.5,293.32,279.47,292.03,292.03,108906600
2025-04-28,TSLA,288.98,294.86,272.42,285.88,285.88,151731800
2025-04-25,TSLA,261.69,286.85,259.63,284.95,284.95,167560700
2025-04-24,TSLA,250.5,259.54,249.2,259.51,259.51,94464200
2025-04-23,TSLA,254.86,259.45,244.43,250.74,250.74,150381900
2025-04-22,TSLA,230.96,242.79,229.85,237.97,237.97,120858500
2025-04-21,TSLA,230.26,232.21,222.79,227.5,227.5,97768000
2025-04-17,TSLA,243.47,244.34,237.68,241.37,241.37,83404800
2025-04-16,TSLA,247.61,251.97,233.89,241.55,241.55,112378700
2025-04-15,TSLA,249.91,258.75,247.54,254.11,254.11,79594300
2025-04-14,TSLA,258.36,261.8,245.93,252.35,252.35,100135200
2025-04-11,TSLA,251.84,257.74,241.36,252.31,252.31,128948100
2025-04-10,TSLA,260.0,262.49,239.33,252.4,252.4,181722600
2025-04-09,TSLA,224.69,274.69,223.88,272.2,272.2,219433400
2025-04-08,TSLA,245.0,250.44,217.8,221.86,221.86,171603500
2025-04-07,TSLA,223.78,252.0,214.25,233.29,233.29,183453800
2025-04-04,TSLA,255.38,261.0,236.0,239.43,239.43,181229400
2025-04-03,TSLA,265.29,276.3,261.51,267.28,267.28,136174300
2025-04-02,TSLA,254.6,284.99,251.27,282.76,282.76,212787800
2025-04-01,TSLA,263.8,277.45,259.25,268.46,268.46,146486900
2025-03-31,TSLA,249.31,260.56,243.36,259.16,259.16,134008900
2025-03-28,TSLA,275.58,276.1,260.57,263.55,263.55,123809400
2025-03-27,TSLA,272.48,291.85,271.82,273.13,273.13,162572100
2025-03-26,TSLA,282.66,284.9,266.51,272.06,272.06,153629800
2025-03-25,TSLA,283.6,288.2,271.28,288.14,288.14,150361500
2025-03-24,TSLA,258.08,278.64,256.33,278.39,278.39,169079900
2025-03-21,TSLA,234.99,249.52,234.55,248.71,248.71,132728700
2025-03-20,TSLA,233.35,238.0,230.05,236.26,236.26,99028300
2025-03-19,TSLA,231.61,241.41,229.2,235.86,235.86,111993800
2025-03-18,TSLA,228.16,230.1,222.28,225.31,225.31,111477600
2025-03-17,TSLA,245.06,245.4,232.8,238.01,238.01,111900600
2025-03-14,TSLA,247.31,251.58,240.73,249.98,249.98,100242300
2025-03-13,TSLA,248.13,248.29,232.6,240.68,240.68,114813500
2025-03-12,TSLA,247.22,251.84,241.1,248.09,248.09,142215700
2025-03-11,TSLA,225.31,237.06,217.02,230.58,230.58,174896400
2025-03-10,TSLA,252.54,253.37,220.0,222.15,222.15,189076900
2025-03-07,TSLA,259.32,266.25,250.73,262.67,262.67,102369600
2025-03-06,TSLA,272.06,272.65,260.02,263.45,263.45,98451600
2025-03-05,TSLA,272.92,279.55,267.71,279.1,279.1,94042900
2025-03-04,TSLA,270.93,284.35,261.84,272.04,272.04,126706600
2025-03-03,TSLA,300.34,303.94,277.3,284.65,284.65,115551400
2025-02-28,TSLA,279.5,293.88,273.6,292.98,292.98,115697000
2025-02-27,TSLA,291.16,297.23,280.88,281.95,281.95,101748200
2025-02-26,TSLA,303.71,309.0,288.04,290.8,290.8,100118300
2025-02-25,TSLA,327.02,328.89,297.25,302.8,302.8,134228800
2025-02-24,TSLA,338.14,342.4,324.7,330.53,330.53,76052300
2025-02-21,TSLA,353.44,354.98,334.42,337.8,337.8,74058600
2025-02-20,TSLA,361.51,362.3,348.0,354.4,354.4,45965400
2025-02-19,TSLA,354.0,367.34,353.67,360.56,360.56,67094400
2025-02-18,TSLA,355.01,359.1,350.02,354.11,354.11,51631700
2025-02-14,TSLA,360.62,362.0,347.5,355.84,355.84,68277300
